gender,mode,acc_phon,phr_phon,fin_phon,l_grand_mean_t,h_grand_mean_t,l_f0_z,h_f0_z,f0_exc_z,lh_slope
F,MDC,L*H,% H* L*H %,%,84,289,-0.7677935943060494,1.741103202846978,2.508896797153027,48.113
F,MDC,L*H,% H* L*H %,%,78,281,-0.5631672597864772,1.610616844602609,2.173784104389086,40.488
F,MDC,L*H,% H* L*H %,%,104,307,-0.6017200474495837,1.1983985765124545,1.8001186239620384,34.474
F,MDC,L*H,% H* L*H %,%,90,308,-0.48902728351126956,1.4653024911032035,1.954329774614473,36.94
F,MDC,L*H,% H* L*H %,%,79,291,-0.4059905100830367,1.5928232502965627,1.9988137603795995,37.839
F,MDC,L*H,% H* L*H %,%,118,261,-1.8858244365361787,0.18416370106761842,2.069988137603797,64.596
F,MDC,L*H,% (*) L*H %,%,104,258,-1.9658956109134018,0.3354092526690392,2.301304863582441,67.498
F,MDC,L*H,% (*) L*H %,%,86,257,-1.8680308422301284,0.569691577698697,2.4377224199288254,65.263
F,MDC,L*H,% (*) L*H %,%,118,270,-1.8561684460260974,0.6082443653618037,2.464412811387901,77.255
F,MDC,L*H,% (*) L*H %,%,98,247,-1.8472716488730723,0.8603202846975078,2.70759193357058,85.865
F,MDC,L*H,% H* L*H L%,L%,104,326,-1.0910438908659557,0.5281731909845807,1.6192170818505365,28.706
F,MDC,L*H,% H* L*H L%,L%,89,309,-0.9397983392645306,1.0530842230130493,1.9928825622775799,35.949
F,MDC,L*H,% H* L*H L%,L%,71,322,-1.0435943060498194,0.41548042704626226,1.4590747330960816,24.045
F,MDC,L*H,% H* L*H L%,L%,82,312,-0.9071767497034394,0.40954922894424683,1.3167259786476864,23.269
F,MDC,L*H,% >H* L*H L%,L%,63,302,-1.0851126927639358,0.4658956109134039,1.5510083036773397,28.58
F,MDQ,^[L*H],% ^[L*H L*H] %,%,50,304,0.5459667852906311,3.2416963226571762,2.695729537366545,48.143
F,MDQ,L*^[H],% L*H L*^[H] %,%,62,303,0.20492289442467454,3.117141162514831,2.9122182680901565,48.497
F,MDQ,L*^[H],% L*H L*^[H] %,%,73,287,-0.05308422301304924,2.7405100830367735,2.7935943060498225,50.922
F,MDQ,L*^[H],% (*) L*^[H L%],%,77,281,-0.29922894424673796,3.025207591933573,3.3244365361803108,60.241
